,Start Time (s),End Time (s),Note
0,0.40,0.96,G#4
1,0.97,0.98,D#5
2,0.99,1.51,D#4
3,1.52,1.61,E4
4,1.62,1.62,G3
5,1.63,2.16,E4
6,2.17,2.67,F#4
7,2.68,2.69,A4
8,2.70,2.76,F#4
9,2.77,3.04,C#4
10,3.05,3.28,D#4
11,3.29,3.75,C#4
12,3.76,4.22,B3
13,4.28,4.28,E4
14,4.48,4.72,G#4
15,4.73,4.96,A4
16,4.97,5.31,G#4
17,5.32,5.36,F#4
18,5.37,5.37,G#4
19,5.38,5.96,F#4
20,6.11,6.14,C#5
21,6.15,6.16,B4
22,6.17,6.33,C#5
23,6.34,6.57,D#5
24,6.58,6.83,C#5
25,6.86,6.89,C#5
26,6.90,7.60,B4
27,7.61,8.01,G#5
28,8.02,8.05,A5
29,8.06,8.37,G#5
30,8.38,9.60,F#5
31,9.61,9.64,G#5
32,9.65,9.94,F#5
33,9.95,10.51,F5
34,10.52,10.75,G5
35,10.76,10.91,F5
36,10.92,11.22,E5
37,11.23,11.24,F5
38,11.25,11.47,E5
39,11.48,11.48,F5
40,11.49,11.52,E5
41,11.53,11.68,F5
42,11.69,12.45,E5
43,12.46,12.77,F#5
44,12.78,13.27,E5
45,13.35,13.42,E5
46,13.43,13.44,E4
47,13.45,13.46,E5
48,13.47,13.51,E4
49,15.63,15.66,D4
50,16.07,16.82,E5
51,16.83,16.90,A5
52,16.94,16.98,E5
53,17.01,17.01,D5
54,17.02,17.04,C#5
55,17.05,17.07,D5
56,17.39,17.98,B4
57,17.99,18.38,E5
58,18.41,18.42,E5
59,18.44,18.48,E5
60,18.53,18.56,F#4
61,18.60,18.60,G#4
62,18.61,18.61,F#6
63,18.62,18.64,A#3
64,18.68,18.68,A#3
65,18.78,19.21,E4
66,19.22,19.78,A4
67,20.09,20.54,B3
68,20.55,20.65,E4
69,20.66,20.66,D4
70,20.67,21.10,E4
71,21.13,21.13,B3
72,21.14,21.15,B4
73,21.16,21.20,F#4
74,21.21,21.22,E4
75,21.23,21.26,C#4
76,21.27,21.27,B3
77,21.28,21.28,C#4
78,21.29,21.33,G4
79,21.34,21.34,F#4
80,21.35,21.36,E4
81,21.37,21.38,B3
82,21.39,21.41,F#4
83,21.42,21.53,A#3
84,21.54,21.58,C#4
85,21.59,21.82,A#3
86,21.83,21.87,A#4
87,21.88,21.89,B3
88,21.90,22.37,E4
89,22.38,22.40,G3
90,22.41,22.44,C4
91,22.45,22.92,A#3
92,22.93,23.37,G4
93,23.38,23.94,A#3
94,23.95,24.53,G#4
95,24.54,25.03,A4
96,25.04,25.04,F4
97,25.05,25.44,E4
98,25.45,26.10,F4
99,26.94,26.97,A5
100,26.98,27.03,G#5
101,27.04,27.08,A5
102,27.09,27.10,G#5
103,27.11,27.13,A5
104,27.14,27.17,G#5
105,27.18,27.24,A5
106,27.25,27.26,G#5
107,27.27,27.45,A5
108,27.46,27.86,E5
109,27.87,28.30,F5
110,28.31,28.35,E5
111,28.36,28.42,F5
112,28.43,28.43,C#5
113,28.44,28.44,F5
114,28.45,28.48,C#5
115,28.49,28.49,F5
116,28.50,28.80,C#5
117,28.81,28.83,D5
118,28.84,28.86,C#5
119,28.87,28.88,D5
120,28.89,28.91,C#5
121,28.92,29.11,D5
122,29.13,29.41,D5
123,29.42,29.83,A4
124,29.84,30.03,A#4
125,30.04,30.07,A4
126,30.08,30.18,A#4
127,30.58,30.58,D5
128,30.79,30.84,A4
129,30.91,30.96,A4
130,30.99,31.00,A4
131,31.25,31.69,D5
132,31.70,31.70,D4
133,31.71,31.71,D#4
134,31.72,31.72,D#5
135,31.73,31.73,F#4
136,31.74,32.19,A4
137,32.20,32.24,A#4
138,32.25,32.26,A4
139,32.27,32.30,A#4
140,32.31,32.31,A4
141,32.32,32.60,A#4
142,32.61,32.61,D4
